metric,value
face_acc,0.9944159832256434
iou_threshold,0.5
instance_precision,0.9862932889166494
instance_recall,0.9904864789517703
instance_f1,0.9883854365893523
instance_tp,56846
instance_fp,790
instance_fn,546
gt_instances,57392
pred_instances,57636
mean_ari,0.9931282371945027
splits,0
merges,0

class_id,class_name,instance_recall,gt_instances,tp
0,through_hole,0.9944,3396,3377
1,poly_through_passage,0.9962,8946,8912
2,through_slot,0.9743,2758,2687
3,through_step,0.9918,7555,7493
4,o_ring,0.9884,3280,3242
5,blind_hole,0.9791,3200,3133
6,blind_pocket,0.9952,12809,12747
7,blind_slot,0.9911,2139,2120
8,blind_step,0.9848,9231,9091
9,chamfer,0.9899,3069,3038
10,round_fillet,0.9970,1009,1006
