id,class,precision,recall,f1,support
0,"through_hole",0.9952,0.9914,0.9933,3945
1,"poly_through_passage",0.9944,0.9975,0.9959,49471
2,"through_slot",0.9836,0.9662,0.9748,8076
3,"through_step",0.9885,0.9927,0.9906,24270
4,"o_ring",0.9835,0.9864,0.9850,10328
5,"blind_hole",0.9720,0.9726,0.9723,6716
6,"blind_pocket",0.9986,0.9971,0.9978,68452
7,"blind_slot",0.9902,0.9920,0.9911,8651
8,"blind_step",0.9942,0.9902,0.9922,24013
9,"chamfer",0.9908,0.9908,0.9908,3704
10,"round_fillet",0.9885,0.9934,0.9909,1209
11,"stock",0.9990,0.9996,0.9993,60147
